,Country,Cluster,Year,GDP,Population,GDPpc
0,ABW,0,2020,2486.299072265625,106.58499908447266,23.326914
1,ABW,0,2025,2789.173095703125,108.65673828125,25.479055
2,ABW,0,2030,3249.7275390625,111.03565979003906,28.865412
3,ABW,0,2035,3675.357666015625,114.0634765625,30.729223
4,ABW,0,2040,4196.6728515625,115.79966735839844,36.92943
5,ABW,0,2045,4690.23828125,116.97146606445312,39.409996
6,ABW,0,2050,5296.16162109375,117.0118637084961,44.360626
7,ABW,0,2055,5944.45166015625,118.33736419677734,47.50918
8,ABW,0,2060,6712.2646484375,120.71340942382812,54.613914
9,ABW,0,2065,7617.52099609375,122.4634780883789,63.526165
10,ABW,0,2070,8561.193359375,125.81441497802734,68.5383
11,ABW,0,2075,9632.6494140625,127.67757415771484,77.968124
12,ABW,0,2080,10526.271484375,129.9116668701172,81.89341
13,ABW,0,2085,11572.099609375,131.27732849121094,85.813065
14,ABW,0,2090,12751.96484375,133.67092895507812,91.47105
15,ABW,0,2095,13950.6181640625,136.71730041503906,102.01715
16,ABW,0,2100,14881.98828125,136.90228271484375,106.47054
17,ABW,1,2020,2486.299072265625,106.58499908447266,23.326914
18,ABW,1,2025,3050.92822265625,109.6914291381836,28.41261
19,ABW,1,2030,3682.64306640625,111.38752746582031,33.054756
20,ABW,1,2035,4391.23828125,114.83976745605469,38.380157
21,ABW,1,2040,5401.568359375,115.6302719116211,45.492523
22,ABW,1,2045,6262.76513671875,117.53656005859375,51.138355
23,ABW,1,2050,7643.9267578125,116.30845642089844,69.92967
24,ABW,1,2055,8958.556640625,116.69230651855469,83.22791
25,ABW,1,2060,10642.8701171875,120.61534118652344,96.139046
26,ABW,1,2065,13075.05078125,124.27820587158203,115.89534
27,ABW,1,2070,16609.783203125,127.1521987915039,139.4467
28,ABW,1,2075,20837.0703125,128.9450225830078,174.292
29,ABW,1,2080,24345.23828125,131.61575317382812,189.649
30,ABW,1,2085,27440.427734375,130.38186645507812,210.42322
31,ABW,1,2090,33165.8984375,133.6401824951172,242.75154
32,ABW,1,2095,36905.046875,133.4588623046875,284.75424
33,ABW,1,2100,40946.15234375,132.31549072265625,286.59
34,ABW,2,2020,2486.299072265625,106.58499908447266,23.326914
35,ABW,2,2025,2744.2490234375,108.80549621582031,25.346445
36,ABW,2,2030,2918.66259765625,111.23263549804688,25.975777
37,ABW,2,2035,3090.828857421875,114.1613998413086,26.777521
38,ABW,2,2040,3313.51904296875,115.62289428710938,28.07387
39,ABW,2,2045,3491.958251953125,116.64090728759766,29.344446
40,ABW,2,2050,3693.4560546875,115.6903305053711,31.102348
41,ABW,2,2055,3902.647705078125,117.10572052001953,33.072735
42,ABW,2,2060,4122.37158203125,119.70449829101562,34.018
43,ABW,2,2065,4421.091796875,119.5250244140625,36.41693
44,ABW,2,2070,4611.8701171875,123.44213104248047,38.57
45,ABW,2,2075,4900.205078125,124.51087951660156,39.323135
46,ABW,2,2080,5170.4658203125,127.30561828613281,40.35244
47,ABW,2,2085,5427.7529296875,128.44387817382812,43.237602
48,ABW,2,2090,5803.82373046875,132.04876708984375,43.99168
49,ABW,2,2095,6106.357421875,134.11448669433594,45.982803
50,ABW,2,2100,6411.2646484375,133.81765747070312,47.050148
51,AFG,0,2020,20900.765625,38972.23046875,0.53629893
52,AFG,0,2025,28376.28515625,44105.62890625,0.634428
53,AFG,0,2030,39327.41015625,50142.828125,0.7872939
54,AFG,0,2035,52013.8046875,55588.7109375,0.91880137
55,AFG,0,2040,68321.8046875,60866.76953125,1.1030214
56,AFG,0,2045,91684.015625,66103.2578125,1.4110117
57,AFG,0,2050,114650.7734375,71547.2265625,1.5941093
58,AFG,0,2055,145101.0625,76363.6328125,1.8783511
59,AFG,0,2060,181104.3125,81311.4453125,2.278213
60,AFG,0,2065,217841.890625,85313.03125,2.525459
61,AFG,0,2070,273962.71875,88960.2734375,3.0762916
62,AFG,0,2075,314133.96875,91569.9453125,3.400004
63,AFG,0,2080,377481.6875,93655.5625,3.776643
64,AFG,0,2085,425547.53125,96151.8984375,4.337861
65,AFG,0,2090,477151.53125,97969.6953125,4.780678
66,AFG,0,2095,577876.5,99576.8671875,5.7779155
67,AFG,0,2100,677369.3125,100433.6640625,6.6336575
68,AFG,1,2020,20900.765625,38972.23046875,0.53629893
69,AFG,1,2025,30131.998046875,44202.3515625,0.6962497
70,AFG,1,2030,41571.71484375,50350.51953125,0.8082902
71,AFG,1,2035,56720.41796875,54934.0703125,1.0228019
72,AFG,1,2040,79656.3671875,60388.25390625,1.3359461
73,AFG,1,2045,104276.390625,67117.25,1.6696044
74,AFG,1,2050,142792.84375,70628.546875,2.043474
75,AFG,1,2055,240018.953125,75668.6171875,3.4990444
76,AFG,1,2060,306544.1875,79296.203125,4.13053
77,AFG,1,2065,427372.84375,83360.703125,5.521583
78,AFG,1,2070,509569.59375,87644.8046875,5.6706944
79,AFG,1,2075,706490.125,92887.4375,8.441897
80,AFG,1,2080,751196.375,97444.203125,9.703457
81,AFG,1,2085,1002250.0,98348.1484375,11.572008
82,AFG,1,2090,1071388.5,99594.0859375,12.835356
83,AFG,1,2095,1367489.875,100479.1953125,13.449807
84,AFG,1,2100,1649794.875,104106.4375,20.255383
85,AFG,2,2020,20900.765625,38972.23046875,0.53629893
86,AFG,2,2025,27413.375,44100.15625,0.6116224
87,AFG,2,2030,34354.666015625,50124.828125,0.6823013
88,AFG,2,2035,42909.1171875,55823.80859375,0.7870016
89,AFG,2,2040,54645.12109375,61491.8125,0.9032489
90,AFG,2,2045,68606.6015625,66329.73828125,1.0839893
91,AFG,2,2050,79138.546875,71423.7109375,1.0867472
92,AFG,2,2055,98788.90625,76924.7578125,1.2911228
93,AFG,2,2060,123012.51171875,82086.78125,1.5857061
94,AFG,2,2065,138268.9375,84664.875,1.641133
95,AFG,2,2070,163735.4296875,88855.0390625,1.8596361
96,AFG,2,2075,181616.1640625,91953.171875,2.0315795
97,AFG,2,2080,191051.7890625,94815.6640625,1.9976057
98,AFG,2,2085,225893.8828125,96686.3359375,2.2765658
99,AFG,2,2090,240746.140625,99269.078125,2.3727283
100,AFG,2,2095,269419.15625,99451.515625,2.7774503
101,AFG,2,2100,289436.828125,100554.703125,2.8020244
102,AGO,0,2020,82499.703125,33428.484375,2.4679463
103,AGO,0,2025,113981.9375,39271.9765625,2.882748
104,AGO,0,2030,167381.5,45864.41796875,3.6470368
105,AGO,0,2035,226530.90625,53156.93359375,4.289428
106,AGO,0,2040,304202.90625,61007.03515625,4.990575
107,AGO,0,2045,421125.28125,69570.3828125,6.143832
108,AGO,0,2050,551538.0,79228.25,7.103591
109,AGO,0,2055,707415.25,88242.78125,8.15642
110,AGO,0,2060,948356.0,98886.1484375,9.537999
111,AGO,0,2065,1210155.125,109443.7421875,10.851443
112,AGO,0,2070,1515968.875,120741.5625,12.538387
113,AGO,0,2075,1932566.25,131603.21875,14.588462
114,AGO,0,2080,2335577.0,144103.875,16.885626
115,AGO,0,2085,2857597.5,154953.53125,18.82675
116,AGO,0,2090,3376278.25,165815.703125,20.11508
117,AGO,0,2095,3998508.75,176250.671875,20.677896
118,AGO,0,2100,4730052.5,186242.46875,25.458305
119,AGO,1,2020,82499.703125,33428.484375,2.4679463
120,AGO,1,2025,131785.53125,39271.9765625,3.372201
121,AGO,1,2030,177109.21875,45945.078125,3.7768137
122,AGO,1,2035,272896.28125,53287.4765625,5.1995635
123,AGO,1,2040,390747.15625,61787.7109375,6.86901
124,AGO,1,2045,500575.375,70696.8046875,7.0152435
125,AGO,1,2050,743865.25,79938.0859375,9.635285
126,AGO,1,2055,956155.5625,91083.2890625,10.741473
127,AGO,1,2060,1264268.0,101151.546875,13.24718
128,AGO,1,2065,1796795.625,111646.2890625,17.053413
129,AGO,1,2070,2557985.25,122685.140625,21.46239
130,AGO,1,2075,3372397.25,132892.0,27.218788
131,AGO,1,2080,4109834.5,144182.3125,28.018843
132,AGO,1,2085,5607938.0,154731.578125,40.080486
133,AGO,1,2090,7088661.0,165921.84375,47.3161
134,AGO,1,2095,8566376.0,177227.3125,51.556976
135,AGO,1,2100,10461838.0,185444.21875,59.15745
136,AGO,2,2020,82499.703125,33428.484375,2.4679463
137,AGO,2,2025,109312.22265625,39244.8046875,2.778224
138,AGO,2,2030,136147.765625,45746.1328125,2.96762
139,AGO,2,2035,171321.3359375,53095.72265625,3.2120895
140,AGO,2,2040,214304.875,60692.17578125,3.5352519
141,AGO,2,2045,277472.0625,69468.8125,4.162804
142,AGO,2,2050,337936.828125,78691.640625,4.3963046
143,AGO,2,2055,413419.296875,87834.1328125,4.6049466
144,AGO,2,2060,508969.484375,97896.96875,5.143711
145,AGO,2,2065,611243.375,108408.9765625,5.7267756
146,AGO,2,2070,722143.4375,119915.6796875,6.2519794
147,AGO,2,2075,862990.125,131018.3515625,6.84914
148,AGO,2,2080,1014730.25,142153.0625,7.4269457
149,AGO,2,2085,1164628.875,152272.3515625,7.7053394
150,AGO,2,2090,1312257.0,164226.546875,8.115298
151,AGO,2,2095,1504842.4375,174307.015625,8.96575
152,AGO,2,2100,1683705.8125,185444.21875,9.324281
153,ALB,0,2020,12709.02734375,2837.84912109375,4.478401
154,ALB,0,2025,14307.52734375,2822.98291015625,5.0286956
155,ALB,0,2030,15914.291015625,2778.134033203125,5.6762643
156,ALB,0,2035,17651.18359375,2715.597412109375,6.6341395
157,ALB,0,2040,21918.677734375,2646.107421875,8.412817
158,ALB,0,2045,23197.81640625,2560.522216796875,9.0391035
159,ALB,0,2050,22617.373046875,2485.171875,8.997741
160,ALB,0,2055,27119.515625,2420.706787109375,11.00601
161,ALB,0,2060,29792.111328125,2351.38818359375,12.88004
162,ALB,0,2065,31750.16796875,2287.818359375,13.715936
163,ALB,0,2070,34674.5625,2202.182373046875,15.083473
164,ALB,0,2075,36042.75,2115.24462890625,15.792534
165,ALB,0,2080,38669.76171875,2019.9825439453125,17.392324
166,ALB,0,2085,39111.296875,1910.7496337890625,19.810095
167,ALB,0,2090,42102.7265625,1831.2298583984375,21.613958
168,ALB,0,2095,44937.30859375,1742.980224609375,24.552448
169,ALB,0,2100,45826.56640625,1681.1820068359375,28.633913
170,ALB,1,2020,12709.02734375,2837.84912109375,4.478401
171,ALB,1,2025,15641.2861328125,2824.799560546875,5.6747675
172,ALB,1,2030,16588.685546875,2780.301025390625,5.907772
173,ALB,1,2035,19543.970703125,2733.8779296875,6.449839
174,ALB,1,2040,19495.416015625,2691.296142578125,6.9252453
175,ALB,1,2045,23232.107421875,2619.609375,8.180837
176,ALB,1,2050,31038.130859375,2550.703125,11.343528
177,ALB,1,2055,35549.546875,2470.31103515625,14.813778
178,ALB,1,2060,42849.984375,2441.701171875,18.572388
179,ALB,1,2065,69942.1171875,2383.695556640625,26.646975
180,ALB,1,2070,77645.84375,2337.0205078125,31.89128
181,ALB,1,2075,89516.9375,2243.698974609375,36.43354
182,ALB,1,2080,95557.1171875,2140.14013671875,43.934345
183,ALB,1,2085,107192.453125,2049.4296875,57.159042
184,ALB,1,2090,132808.84375,1978.4022216796875,69.236565
185,ALB,1,2095,160558.859375,1946.773681640625,80.78247
186,ALB,1,2100,184600.3125,1893.80224609375,106.018814
187,ALB,2,2020,12709.02734375,2837.84912109375,4.478401
188,ALB,2,2025,13519.40380859375,2820.10498046875,4.8129115
189,ALB,2,2030,14207.966796875,2776.18115234375,5.1844954
190,ALB,2,2035,13765.0107421875,2714.39794921875,5.0757236
191,ALB,2,2040,13910.71337890625,2643.814453125,5.248557
192,ALB,2,2045,13727.44580078125,2568.563232421875,5.2229977
193,ALB,2,2050,13246.03759765625,2493.834716796875,5.2189264
194,ALB,2,2055,14029.52001953125,2429.895263671875,5.661968
195,ALB,2,2060,14475.9462890625,2361.934814453125,6.447419
196,ALB,2,2065,16022.87890625,2295.8251953125,7.017774
197,ALB,2,2070,15946.65478515625,2207.693359375,6.882258
198,ALB,2,2075,15723.578125,2113.079833984375,7.375598
199,ALB,2,2080,15157.57861328125,2019.82177734375,7.3481536
200,ALB,2,2085,15528.568359375,1897.83251953125,8.130289
