SURVEY,DOEID,REGIONC,DIVISION,LRGSTATE,TYPEHUQ,MQRESULT,NWEIGHT,HD65,CD65,NUMFLRS,NUMAPTS,WALLTYPE,CNFRMHUQ,ALTHUQ,REVHUQ,STUDIO,ONEFLRAPT,NAPTFLRS,STORIES,TYPEHUQ4,BEDROOMS,OTHROOMS,TOTROOMS,NCOMBATH,NHAFBATH,POTTYAGE,POTTYLEAK,POTTYPARTS,POTTYFIX,CELLAR,CRAWL,CONCRETE,BASEFIN,FINBASERMS,BASEHEAT,PCTBSTHT,BASECOOL,PCTBSTCL,BASEUSE,ATTIC,ATTICFIN,FINATTRMS,ATTCHEAT,PCTATTHT,ATTCCOOL,PCTATTCL,ATTICUSE,PRKGPLC1,GARAGE1C,GARAGE2C,GARAGE3C,GARGLOC,GARGHEAT,GARGCOOL,PRKGPLC2,DGARG1C,DGARG2C,DGARG3C,CARPORT,KOWNRENT,HUPROJ,RENTHELP,KOWNCOND,CONDCOOP,YEARMADE,OCCUPY,OCCUPYY,OCCUPYM,URBRUR,UGASHERE,ZTYPEHUQ,ZNUMFLRS,ZNUMAPTS,ZWALLTYPE,ZCNFRMHUQ,ZALTHUQ,ZREVHUQ,ZORIG1FAM,ZLOOKLIKE,ZSTUDIO,ZONEFLRAPT,ZNAPTFLRS,ZSTORIES,ZTYPEHUQ4,ZBEDROOMS,ZOTHROOMS,ZTOTROOMS,ZNCOMBATH,ZNHAFBATH,ZPOTTYAGE,ZPOTTYLEAK,ZPOTTYPARTS,ZPOTTYFIX,ZCELLAR,ZCRAWL,ZCONCRETE,ZBASEFIN,ZFINBASERMS,ZBASEHEAT,ZPCTBSTHT,ZBASECOOL,ZPCTBSTCL,ZBASEUSE,ZATTIC,ZATTICFIN,ZFINATTRMS,ZATTCHEAT,ZPCTATTHT,ZATTCCOOL,ZPCTATTCL,ZATTICUSE,ZPRKGPLC1,ZGARAGE1C,ZGARAGE2C,ZGARAGE3C,ZGARGLOC,ZGARGHEAT,ZGARGCOOL,ZPRKGPLC2,ZDGARG1C,ZDGARG2C,ZDGARG3C,ZCARPORT,ZKOWNRENT,ZHUPROJ,ZKOWNCOND,ZCONDCOOP,ZYEARMADE,ZOCCUPY,ZOCCUPYY,ZOCCUPYM,ZURBRUR,ZUGASHERE,STOVEN,STOVE,OVEN,MULTSTV,STOVENFU,STOVENAB,STOVENAO,MULTOVEN,OVENA,OVENUSE,OVENCLN,TYPECLN,MULTRANG,STOVEA,TOPGRILL,STGRILA,MICRO,AMTMICRO,TOASTER,TSTRFRQ,TSTRUSE,NUMMEAL,FUELFOOD,COFFEE,COFFFRQ,COFPOTON,NUMFRIG,TYPERFR1,DOORSFR1,SIZRFRI1,REFRIGT1,ICE,AGERFRI1,ESFRIG,TYPERFR2,DOORSFR2,SIZRFRI2,REFRIGT2,MONRFRI2,AGERFRI2,TYPERFR3,DOORSFR3,SIZRFRI3,REFRIGT3,MONRFRI3,AGERFRI3,SEPFREEZ,NUMFREEZ,UPRTFRZR,SIZFREEZ,FREEZER,AGEFRZR,UPRTFRZR2ND,SIZFREEZ2,FREEZER2,AGEFRZR2,DISHWASH,DWASHUSE,AGEDW,ZSTOVEN,ZSTOVE,ZOVEN,ZMULTSTV,ZSTOVENFU,ZSTOVENAB,ZSTOVENAO,ZMULTOVEN,ZOVENA,ZOVENUSE,ZOVENCLN,ZTYPECLN,ZMULTRANG,ZSTOVEA,ZTOPGRILL,ZSTGRILA,ZMICRO,ZAMTMICRO,ZTOASTER,ZTSTRFRQ,ZTSTRUSE,ZNUMMEAL,ZFUELFOOD,ZCOFFEE,ZCOFFFRQ,ZCOFPOTON,ZNUMFRIG,ZTYPERFR1,ZDOORSFR1,ZSIZRFRI1,ZREFRIGT1,ZICE,ZAGERFRI1,ZESFRIG,ZTYPERFR2,ZDOORSFR2,ZSIZRFRI2,ZREFRIGT2,ZMONRFRI2,ZAGERFRI2,ZTYPERFR3,ZDOORSFR3,ZSIZRFRI3,ZREFRIGT3,ZMONRFRI3,ZAGERFRI3,ZSEPFREEZ,ZNUMFREEZ,ZUPRTFRZR,ZSIZFREEZ,ZFREEZER,ZAGEFRZR,ZUPRTFRZR2ND,ZSIZFREEZ2,ZFREEZER2,ZAGEFRZR2,ZDISHWASH,ZDWASHUSE,ZAGEDW,ZESDISHW,ESDISHW,CWASHER,TOPFRONT,WASHLOAD,WASHTEMP,RNSETEMP,AGECWASH,ESCWASH,DRYER,DRYRFUEL,DRYRUSE,AGECDRYER,WATERBED,NOWTBDHT,WTBEDUSE,CFAN,NUMCFAN,USECFAN,SWIMPOOL,POOL,FUELPOOL,RECBATH,FUELTUB,H2OLAWNSYS,USEH2OLAWNSYS,TVCOLOR,BIGTV,PLASMANUM,TVRECEP,TYPRECEP,CBLCON,VCR,DVD,COMBOVCRDVD,NCOMBOVCRDVD,PLAYSTA,PLYSTAHRS,TVONWD,TVONWE,NOTMOIST,USENOTMOIST,MOISTURE,USEMOISTURE,WELLPUMP,SWAMPCOL,AQUARIUM,DIPSTICK,NOCORD,CELLPHON,ANSMACH,STEREO,BOOMBOX,COMPCTST,COMPNTST,OTHSTER,BATTOOLS,BATCHRG,COMPUTER,MULTPC,NUMPC,LAPTOPPC,PCTYPE1,MONITOR1,TIMEON1,PCONOFF1,PCSLEEP1,PCSCREEN1,PCTYPE2,MONITOR2,TIMEON2,PCONOFF2,PCSLEEP2,PCSCREEN2,PCTYPE3,MONITOR3,TIMEON3,PCONOFF3,PCSLEEP3,PCSCREEN3,INTERNET,INDIALUP,INDSL,INCABLE,INDSLOFF,INCABLEOFF,INWIRELESS,INWIRELESSOFF,HOWPCUSED,TELLDAYS,PCPRINT,FXCOPIER,FAX,COPIER,ZCWASHER,ZTOPFRONT,ZWASHLOAD,ZWASHTEMP,ZRNSETEMP,ZAGECWASH,ZESCWASH,ZDRYER,ZDRYRFUEL,ZDRYRUSE,ZAGECDRYER,ZWATERBED,ZNOWTBDHT,ZWTBEDUSE,ZCFAN,ZNUMCFAN,ZUSECFAN,ZSWIMPOOL,ZPOOL,ZFUELPOOL,ZRECBATH,ZFUELTUB,ZH2OLAWNSYS,ZUSEH2OLAWNSYS,ZTVCOLOR,ZBIGTV,ZPLASMANUM,ZTVRECEP,ZTYPRECEP,ZCBLCON,ZVCR,ZDVD,ZCOMBOVCRDVD,ZNCOMBOVCRDVD,ZPLAYSTA,ZPLYSTAHRS,ZTVONWD,ZTVONWE,ZNOTMOIST,ZUSENOTMOIST,ZMOISTURE,ZUSEMOISTURE,ZWELLPUMP,ZSWAMPCOL,ZAQUARIUM,ZDIPSTICK,ZNOCORD,ZCELLPHON,ZANSMACH,ZSTEREO,ZBOOMBOX,ZCOMPCTST,ZCOMPNTST,ZOTHSTER,ZBATTOOLS,ZBATCHRG,ZCOMPUTER,ZMULTPC,ZNUMPC,ZLAPTOPPC,ZPCTYPE1,ZMONITOR1,ZTIMEON1,ZPCONOFF1,ZPCSLEEP1,ZPCSCREEN1,ZPCTYPE2,ZMONITOR2,ZTIMEON2,ZPCONOFF2,ZPCSLEEP2,ZPCSCREEN2,ZPCTYPE3,ZMONITOR3,ZTIMEON3,ZPCONOFF3,ZPCSLEEP3,ZPCSCREEN3,ZINTERNET,ZINDIALUP,ZINDSL,ZINCABLE,ZINDSLOFF,ZINCABLEOFF,ZINWIRELESS,ZINWIRELESSOFF,ZHOWPCUSED,ZTELLDAYS,ZPCPRINT,ZFXCOPIER,ZFAX,ZCOPIER,DNTHEAT,EQUIPAGE,HEATOTH,EQUIPAUX,REVERSE,WARMAIR,STEAMR,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CARRYEL,CARRYKER,CHIMNEY,RANGE,DIFEQUIP,DKEQUIP,ELECAUX,UGASAUX,LPGAUX,FOILAUX,KEROAUX,WOODAUX,SOLARAUX,OTHERAUX,DKAUX,FURNFUEL,RADFUEL,DIFFUEL,PIPEFUEL,RMHTFUEL,HSFUEL,FPFUEL,NGFPFLUE,USENGFP,RNGFUEL,EQMAMT,THERMAIN,NUMTHERM,PROTHERM,AUTOHEATNITE,AUTOHEATDAY,TEMPHOME,TEMPGONE,TEMPNITE,HEATOFF,HEATROOM,HEATNOT,OTHNOHT,ZFUELHEAT,ZDNTHEAT,ZEQUIPM,ZEQUIPAGE,ZHEATOTH,ZEQUIPAUX,ZREVERSE,ZWARMAIR,ZSTEAMR,ZPERMELEC,ZPIPELESS,ZROOMHEAT,ZWOODKILN,ZCARRYEL,ZCARRYKER,ZCHIMNEY,ZRANGE,ZDIFEQUIP,ZDKEQUIP,ZELECAUX,ZUGASAUX,ZLPGAUX,ZFOILAUX,ZKEROAUX,ZWOODAUX,ZSOLARAUX,ZOTHERAUX,ZDKAUX,ZFURNFUEL,ZRADFUEL,ZDIFFUEL,ZPIPEFUEL,ZRMHTFUEL,ZHSFUEL,ZFPFUEL,ZNGFPFLUE,ZUSENGFP,ZRNGFUEL,ZEQMAMT,ZTHERMAIN,ZOTHTHERM,ZNUMTHERM,ZPROTHERM,ZAUTOHEATNITE,ZAUTOHEATDAY,ZTEMPHOME,ZTEMPGONE,ZTEMPNITE,ZHEATOFF,ZHEATROOM,ZHEATNOT,ZOTHNOHT,FUELHEAT,EQUIPM,NUMH2OHTRS,WHEATOTH,WHEATSIZ,WHEATAGE,WHEATSIZ2,WHEATAGE2,WATERWAIT,AIRCOND,COOLTYPE,DUCTS,ACHOUSE,ACROOMS,CENACHP,AGECENAC,USECENAC,ACOTHERS,THERMAINAC,PROTHERMAC,AUTOCOOLNITE,AUTOCOOLDAY,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,NUMBERAC,WWACAGE,ESWWAC,USEWWAC,TREESHAD,LGT12,LGT12EE,LGT4,LGT4EE,LGT1,LGT1EE,NOUTLGTNT,NGASLIGHT,SLDDRS,DOOR1SUM,WINDOWS,TYPEGLASS,NEWGLASS,ADQINSUL,DRAFTY,HIGHCEIL,CATHCEIL,ZNUMH2OHTRS,ZFUELH2O,ZWHEATOTH,ZWHEATSIZ,ZWHEATAGE,ZFUELH2O2,ZWHEATSIZ2,ZWHEATAGE2,ZWATERWAIT,ZAIRCOND,ZCOOLTYPE,ZDUCTS,ZACHOUSE,ZACROOMS,ZCENACHP,ZAGECENAC,ZUSECENAC,ZACOTHERS,ZTHERMAINAC,ZPROTHERMAC,ZAUTOCOOLNITE,ZAUTOCOOLDAY,ZTEMPHOMEAC,ZTEMPGONEAC,ZTEMPNITEAC,ZNUMBERAC,ZWWACAGE,ZESWWAC,ZUSEWWAC,ZTREESHAD,ZLGT12,ZLGT12EE,ZLGT4,ZLGT4EE,ZLGT1,ZLGT1EE,ZNOUTLGTNT,ZNGASLIGHT,ZSLDDRS,ZDOOR1SUM,ZWINDOWS,ZTYPEGLASS,ZNEWGLASS,ZADQINSUL,ZDRAFTY,ZHIGHCEIL,ZCATHCEIL,FUELH2O,FUELH2O2,USEEL,USENG,USELP,USEFO,USEKERO,USEWOOD,USESOLAR,USEOTH,ELWARM,ELFOOD,ELWATER,ELCOOL,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,LPWARM,LPWATER,LPCOOK,LPGRILL,LPOTHER,FOWARM,FOWATER,FOOTHER,KRWARM,KRWATER,KROTHER,WDWARM,WDWATER,WDOTHER,SOLWARM,SOLWATER,SOLPOOL,SOLOTHER,OTHCOOK,USENGLPG,NGLPGFU,PELHEAT,PELHOTWA,PELCOOK,PELAC,PELLIGHT,PGASHEAT,PGASHTWA,PUGCOOK,PUGOTH,FOPAY,LPGPAY,HOWPAID,HOWPAYEL,HOWPAYNG,HOWPAYLP,HOWPAYFO,HOWPAYKR,LPGDELV,NDIFLPCO,NLPDELNC,QUANTFO,FODEL,NDIFFOCO,NFODELNC,KERODEL,NDIFKRCO,KEROCASH,NOCRCASH,NKRGALNC,PRICEKER,TOTPAYKR,WOODLOGS,WDSCRAP,WDPELLET,WOODAMT,CORDPLUS,CORDPLUSA,CORDTEN,ZUSEEL,ZUSENG,ZUSELP,ZUSEFO,ZUSEKERO,ZUSEWOOD,ZUSESOLAR,ZUSEOTH,ZELWARM,ZELFOOD,ZELWATER,ZELCOOL,ZELOTHER,ZUGWARM,ZUGWATER,ZUGCOOK,ZUGOTH,ZLPWARM,ZLPWATER,ZLPCOOK,ZLPGRILL,ZLPOTHER,ZFOWARM,ZFOWATER,ZFOOTHER,ZKRWARM,ZKRWATER,ZKROTHER,ZWDWARM,ZWDWATER,ZWDOTHER,ZSOLWARM,ZSOLWATER,ZSOLPOOL,ZSOLOTHER,ZOTHCOOK,ZUSENGLPG,ZNGLPGFU,ZPELHEAT,ZPELHOTWA,ZPELCOOK,ZPELAC,ZPELLIGHT,ZPGASHEAT,ZPGASHTWA,ZPUGCOOK,ZPUGOTH,SIGNFORM,KFUELOT,FARM,TENANT,BUSINESS,OTHERUSE,BILLUG,BLPUSE,BILLFOIL,BILLKER,BILLEL,BILLUGP,BILLLGP,BILLFOP,BILLKERP,BILLELP,ZFOPAY,ZLPGPAY,ZOTHERWAYEL,ZOTHERWAYNG,ZOTHERWAYFO,ZOTHERWAYLPG,ZLPGDELV,ZNDIFLPCO,ZNLPDELNC,ZQUANTFO,ZFODEL,ZNDIFFOCO,ZNFODELNC,ZKERODEL,ZNDIFKRCO,ZKEROCASH,ZNOCRCASH,ZNKRGALNC,ZPRICEKER,ZTOTPAYKR,ZWOODLOGS,ZWDSCRAP,ZWDPELLET,ZWOODAMT,ZCORDPLUS,ZCORDPLUSA,ZSIGNFORM,ZKFUELOT,ZFARM,ZTENANT,ZBUSINESS,ZOTHERUSE,ZBILLUG,ZBILLFOIL,ZBILLKER,ZBILLEL,ZBILLUGP,ZBILLLGP,ZBILLKERP,ZBILLELP,HBUSNESS,OTHWORK,ATHOME,HHINTRO,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,ORIGIN1,ORIGIN2,ORIGIN3,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,HHINCOME,POOR100,POOR125,POOR150,LIHEAP,ZOTHWORK,ZATHOME,ZHHINTRO,ZHHSEX,ZHHAGE,ZEMPLOYHH,ZSPOUSE,ZSDESCENT,ZORIGIN1,ZORIGIN2,ZORIGIN3,ZNHSLDMEM,ZAGEHHMEM1,ZAGEHHMEM2,ZAGEHHMEM3,ZAGEHHMEM4,ZAGEHHMEM5,ZAGEHHMEM6,ZAGEHHMEM7,ZAGEHHMEM8,ZAGEHHMEM9,ZAGEHHMEM10,ZAGEHHMEM11,ZAGEHHMEM12,ZAGEHHMEMY,ZWORKPAY,ZRETIREPY,ZCASHBEN,ZNCASHBEN,ZMONEYPY,ZHBUSNESS,ORIG1FAM,LOOKLIKE,SCALEA,SCALEB,SCALEC,SCALED,SCALEE,SCALEF,SCALEG,SCALEH,SCALEI,ENERGYAID,AIDADDRESS,NOPYFIX,NOPYFIXREST,NOPYFL,NOPYFLREST,NOPYEL,NOPYELREST,NOPYGAS,NOPYGASREST,NOPYFIXAC,NOPYFIXACREST,NOPYELAC,NOPYELACREST,SOMEPY,NOPAY,MTHSNOPYJAN,MTHSNOPYFEB,MTHSNOPYMAR,MTHSNOPYAPR,MTHSNOPYMAY,MTHSNOPYJUN,MTHSNOPYJUL,MTHSNOPYAUG,MTHSNOPYSEP,MTHSNOPYOCT,MTHSNOPYNOV,MTHSNOPYDEC,NTIMEWOEL,NDAYSWOEL,SQFTEST,MEASURE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,ZSCALEA,ZSCALEB,ZSCALEC,ZSCALED,ZSCALEE,ZSCALEF,ZSCALEG,ZSCALEH,ZSCALEI,ZENERGYAID,ZAIDADDRESS,ZNOPYFIX,ZNOPYFIXREST,ZNOPYFL,ZNOPYFLREST,ZNOPYEL,ZNOPYELREST,ZNOPYGAS,ZNOPYGASREST,ZNOPYFIXAC,ZNOPYFIXACREST,ZNOPYELAC,ZNOPYELACREST,ZSOMEPY,ZNOPAY,ZMTHSNOPYJAN,ZMTHSNOPYFEB,ZMTHSNOPYMAR,ZMTHSNOPYAPR,ZMTHSNOPYMAY,ZMTHSNOPYJUN,ZMTHSNOPYJUL,ZMTHSNOPYAUG,ZMTHSNOPYSEP,ZMTHSNOPYOCT,ZMTHSNOPYNOV,ZMTHSNOPYDEC,ZNTIMEWOEL,ZNDAYSWOEL,ZSQFTEST,ZMEASURE,RHMSQFT,ATTSQFT,BASSQFT,KAVALEL,PERIODEL,ORIGELQ,ORIGELC,ORIGELS,BEGINELR,ENDELR,KAVALNG,PERIODNG,ORIGNGQ,ORIGNGC,ORIGNGS,BEGINNGR,ENDNGR,KAVALFO,PERIODFO,ORIGFOQ,SCALEFO,ORIGFOC,ORIGFOS,KAVALLPG,PERIODLP,ORIGLPQ,SCALELP,ORIGLPC,ORIGLPS,KAVALKER,PERIODKR,ORIGKERQ,SCALEKER,ORIGKERC,ORIGKERS,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD,DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,DOLLARKR,DOLELCDR,DOLELDWH,DOLELFZZ,DOLELRFG,DOLELCOL,DOLELWTH,DOLELSPH,DOLELAPL,DOLNGAPL,DOLNGWTH,DOLNGSPH,DOLFOAPL,DOLFOSPH,DOLFOWTH,DOLLPAPL,DOLLPSPH,DOLLPWTH
2005,1,3,7,3,2,9,25677.9652467,1231,3281,999,9999,1,1,9,9,9,9,9,10,9,3,1,4,1,1,1,0,0,9,0,0,1,9,99,9,9,9,9,9,0,9,99,9,9,9,9,9,1,1,0,0,2,0,0,9,9,9,9,9,1,9,9,0,9,3,0,9,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,99,99,99,0,5,3,1,2,0,1,0,99,1,1,1,5,2,3,1,1,3,3,2,2,2,4,2,0,3,9,2,2,5,2,12,3,9,9,9,9,99,9,1,1,1,3,2,2,9,9,9,9,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,9,1,1,1,3,0,0,0,1,6,3,0,9,99,0,99,0,9,2,0,0,1,2,9,2,1,0,0,0,999,2,2,0,9,0,9,0,0,0,9,1,1,0,1,0,0,1,0,0,9,1,0,1,0,1,1,10,2,9,9,9,9,99,9,9,9,9,9,99,9,9,9,1,1,0,0,9,9,9,9,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,9,9,99,9,1,9,1,0,0,72,72,72,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,9,9,8,1,3,9,1,4,0,1,3,0,1,1,0,0,75,77,77,1,2,0,3,1,1,1,0,0,1,1,5,0,0,0,41,1,3,2,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1,1,1,1,1,1,1,9,9,1,1,1,9,9,9,9,9,99,9,9,9,99,9,9,9,99,99,999,999,9,9,9,9,9,999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,0,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,55,2,0,0,1,99,99,2,55,99,99,99,99,99,99,99,99,99,99,99,55,1,1,0,0,8,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,1000,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1739,0,0,1,1,1,1,11,1,1,1,1,1,1,11,1,1,9,9,9,9,9,99,9,9,9,9,9,99,9,9,9,9,9,99,13459,45922,365,37559,999999,9999999,999999,9999999,999999,9999999,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,9999999,9999999,9999999,9999999,9999999,9999999,9999999,1699,495,99999,99999,99999,0,14,121,156,1096,0,0,447,125,241,129,99999,99999,99999,99999,99999,99999
2005,2,4,9,2,2,1,24261.8102616,1663,1123,999,9999,3,1,9,9,9,9,9,10,9,4,2,6,2,0,3,0,0,9,0,0,1,9,99,9,9,9,9,9,1,0,99,0,9,0,9,1,0,9,9,9,9,9,9,0,9,9,9,9,1,9,9,0,9,6,0,9,99,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,99,99,0,1,1,0,9,0,1,0,99,1,4,0,9,9,3,1,1,3,2,1,2,2,4,2,0,3,9,9,9,9,9,99,99,9,9,9,9,99,9,0,0,9,9,9,9,9,9,9,9,1,11,4,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3,9,1,1,3,2,3,4,9,1,5,1,6,0,0,0,1,1,3,1,0,99,0,99,0,9,3,0,0,1,1,1,1,2,1,1,1,14,4,3,0,9,0,9,0,0,0,0,1,1,0,1,0,1,0,0,0,9,1,1,3,2,1,1,20,2,9,9,2,9,20,2,9,9,1,1,10,2,9,9,1,6,6,6,9,9,9,9,4,9,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,9,9,9,9,9,9,0,99,99,99,99,99,99,99,9,9,99,1,1,9,0,9,9,72,72,72,9,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,2,3,9,9,8,1,1,9,1,6,0,1,3,0,1,0,9,9,96,96,96,99,9,9,9,0,0,0,0,0,2,0,0,99,0,0,41,2,2,3,3,0,9,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,9,9,1,1,1,1,1,9,9,9,1,1,1,9,9,9,9,9,99,9,9,9,99,9,9,9,99,99,999,999,9,9,9,9,9,999,9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,9,9,9,9,0,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,26,1,1,0,1,99,99,4,26,36,7,99,99,99,99,99,99,99,99,99,1,1,0,1,1,13,52500,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,999,88888,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,660,660,0,3,5,8,3,98,9,9,3,5,8,3,98,1,1,9,9,9,9,9,99,9,9,9,9,9,99,9,9,9,9,9,99,13051,44529,227,23320,999999,9999999,999999,9999999,999999,9999999,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,9999999,9999999,9999999,9999999,9999999,9999999,9999999,1748,203,99999,99999,99999,167,28,0,161,394,0,53,1140,33,114,56,99999,99999,99999,99999,99999,99999
