AEZ_ID,Category,Year,Area(km2)
0,1,1700,209876.584691
0,2,1700,551000.678209
0,11,1700,2264.245775
0,12,1700,25925.964417
0,21,1700,1371.875086
0,22,1700,13184.113154
0,31,1700,36.056948
0,32,1700,497.394082
0,101,1700,83952.060545
0,102,1700,406544.617120
0,111,1700,906.831742
0,112,1700,13945.043386
0,121,1700,408.360295
0,122,1700,2883.293798
0,131,1700,5.819958
0,132,1700,286.027725
0,201,1700,3939.648506
0,202,1700,25382.935999
0,211,1700,87.588237
0,212,1700,2740.022080
0,221,1700,116.723252
0,222,1700,455.692338
0,231,1700,0.100356
0,232,1700,13.405309
0,301,1700,3238.267363
0,302,1700,13727.691545
0,311,1700,101.573467
0,312,1700,4272.289500
0,321,1700,108.051514
0,322,1700,613.747681
0,331,1700,14.632463
0,332,1700,74.191329
0,401,1700,3828.039902
0,402,1700,35834.587187
0,411,1700,305.177444
0,412,1700,3843.868118
0,421,1700,47.852859
0,422,1700,912.068149
0,431,1700,2.339697
0,432,1700,45.833284
0,501,1700,3682.313853
0,502,1700,26150.829670
0,511,1700,278.306324
0,512,1700,11597.293265
0,521,1700,751.197163
0,522,1700,5478.936891
0,532,1700,52.154594
0,601,1700,7546.268213
0,602,1700,28169.503771
0,611,1700,20.011821
0,612,1700,165.934060
0,621,1700,1.188277
0,622,1700,378.174111
0,632,1700,5.906347
0,701,1700,1581.157236
0,702,1700,5428.185848
0,712,1700,72.204254
0,721,1700,0.904482
0,722,1700,124.997905
0,801,1700,40038.487215
0,802,1700,122822.251591
0,811,1700,444.631388
0,812,1700,13068.037685
0,821,1700,689.921525
0,822,1700,7244.802350
0,831,1700,17.460408
0,832,1700,358.066664
0,901,1700,18512.872847
0,902,1700,74146.369961
0,911,1700,326.765535
0,912,1700,6906.755531
0,921,1700,427.078418
0,922,1700,2167.437334
0,931,1700,0.037472
0,932,1700,116.160516
0,1001,1700,8309.725639
0,1002,1700,30675.441765
0,1011,1700,84.335850
0,1012,1700,1802.634018
0,1021,1700,153.104629
0,1022,1700,761.846903
0,1031,1700,7.901210
0,1032,1700,30.709781
0,1101,1700,4987.570269
0,1102,1700,42836.032427
0,1111,1700,396.861030
0,1112,1700,6244.331932
0,1121,1700,302.145096
0,1122,1700,4782.055348
0,1131,1700,1.833633
0,1132,1700,66.486057
0,1201,1700,7661.312178
0,1202,1700,40919.627338
0,1211,1700,390.825992
