INPUT_TABLE
Variable ID
AgGDPCtrlSteep

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,ctrl.name,steepness
Pakistan,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
South Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
South America_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
South America_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,BC_AWB,GDP_control,60
Africa_Eastern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Western,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Brazil,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
India,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Mexico,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Middle East,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Pakistan,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
South Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
South America_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
South America_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,2010,OC_AWB,GDP_control,60
Africa_Eastern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Africa_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Africa_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
