"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"GCAM 7.1","Reference","EU-12","Agricultural Demand","million t DM/yr",87.1051120866331,84.2954934268746,84.9031285946037,90.2009304600404,93.2601241583771,95.3612310051021,96.8940572738635,98.9746832908752,101.762856316311,104.329156430492
"GCAM 7.1","Reference","EU-15","Agricultural Demand","million t DM/yr",334.16148978705,352.306812046562,370.446016293835,384.903561833451,394.461963581905,401.928975834504,408.097626663194,421.271930340791,445.685194562715,469.646705085926
"GCAM 7.1","Reference","World","Agricultural Demand","million t DM/yr",421.266601873683,436.602305473437,455.349144888439,475.104492293491,487.722087740282,497.290206839606,504.991683937057,520.246613631666,547.448050879025,573.975861516418
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops","million t DM/yr",79.4411347085122,76.625675186274,77.1757210397599,82.1756717534736,85.0378626334712,87.0014013486984,88.4534553920925,90.4935235912867,93.2733307866119,95.8568211894144
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops","million t DM/yr",300.197061813375,317.963163899917,334.511065853291,347.912283773865,356.55462760672,363.141343318453,368.461642170808,380.784500817354,404.386988750418,427.641602103308
"GCAM 7.1","Reference","World","Agricultural Demand|Crops","million t DM/yr",379.638196521887,394.588839086191,411.68678689305,430.087955527339,441.592490240191,450.142744667151,456.915097562901,471.27802440864,497.660319537029,523.498423292723
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Bioenergy","million t DM/yr",0.464009736994209,5.35858275653071,5.86778666928238,7.89339015352186,8.08921823822217,7.74809138547607,7.53467719540191,8.72990585492065,11.3514936111602,13.8513026535846
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Bioenergy","million t DM/yr",11.3012871303848,37.7840789797439,40.0714475825307,44.3451211176636,44.0440211194518,40.974296712101,37.2342048494933,43.1699933102663,63.9135670661596,84.0639314963577
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Bioenergy","million t DM/yr",11.765296867379,43.1426617362746,45.9392342518131,52.2385112711855,52.1332393576739,48.7223880975771,44.7688820448952,51.8998991651869,75.2650606773198,97.9152341499424
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Bioenergy|1st Generation","million t DM/yr",0.273504736994209,5.04681375653071,5.39452566928238,7.28096615352186,7.42417323822217,7.04926638547607,6.80025719540191,7.91067485492065,10.4299206111602,12.8344926535846
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Bioenergy|1st Generation","million t DM/yr",9.87551713038479,35.6347489797439,37.2386475825307,41.7206911176636,40.6847411194518,37.172916712101,33.1763148494933,38.4225633102663,57.8585570661596,76.8463814963577
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Bioenergy|1st Generation","million t DM/yr",10.149021867379,40.6815627362746,42.6331732518131,49.0016572711855,48.1089143576739,44.2221830975771,39.9765720448952,46.3332381651869,68.2884776773198,89.6808741499424
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Feed","million t DM/yr",37.4629511677918,34.5175302100732,34.8929795870496,37.4608952971218,39.9182785295667,42.1868283936224,43.9927330828171,45.0902398438623,45.5694009028977,46.0247023412171
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Feed","million t DM/yr",133.371906880042,137.413022081476,149.474955852938,155.356779267324,161.327951151917,168.165727365342,174.561017926586,178.409321593768,178.979051383102,180.117409203781
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Feed","million t DM/yr",170.834858047834,171.93055229155,184.367935439987,192.817674564446,201.246229681484,210.352555758964,218.553751009403,223.49956143763,224.548452286,226.142111544998
