# File: superwell_groundwater_cost_elec.csv
# Title: Groundwater nonrenewable resource curves with capital costs disaggregated from electricity (pumping) requirements
# Comments: Costs and depth bins are from superwell output. elec_coef = (Specific_weight * mean(TotalHead) / Pump_Efficiency) / 1000 * Annual_Operation_time / 3600 * conv_m3_km3
# Source: Superwell model: https://github.com/JGCRI/superwell
# Units: costs in 1975USD per m3; available in km3; elec_coef in kwh per m3
# Column types: ciccnn
# ----------
Country,GCAM_basin_ID,cost_bin,depth_bin,available,elec_coef
Angola,182,"(0.0896,0.112]","(100,125]",10.627904275122027,0.0196609597336656
Angola,182,"(0.112,0.141]","(100,125]",13.254232399581463,0.019795583572145427
Angola,182,"(0.141,0.174]","(100,125]",3.883362766814496,0.01967823768193883
Angola,182,"(0.174,0.215]","(100,125]",2.9022966954728613,0.019456453091705704
Angola,182,"(0.215,0.276]","(100,125]",3.373700803732832,0.019883265462061043
Angola,182,"(0.276,0.373]","(100,125]",5.458221701016976,0.019581673324784405
Angola,182,"(0.373,0.532]","(100,125]",3.672305826477854,0.01953116068246492
Angola,182,"(0.532,0.827]","(100,125]",0.5823954723439226,0.020241227238451523
Angola,182,"(0.827,1.53]","(100,125]",0.5882096163027513,0.019901000967995162
Angola,182,"(0.0107,0.0146]","(125,150]",1.493449075940808,0.022551465951117608
Angola,182,"(0.0146,0.0195]","(125,150]",4.3502007372033225,0.02354492593588064
Angola,182,"(0.0195,0.0259]","(125,150]",10.957861001476566,0.023492939615891124
Angola,182,"(0.0259,0.0339]","(125,150]",15.457998631517194,0.023463338145764446
Angola,182,"(0.0339,0.0436]","(125,150]",17.74903701643193,0.023655675317823314
Angola,182,"(0.0436,0.0558]","(125,150]",25.056597540481853,0.02328838796582419
Angola,182,"(0.0558,0.0708]","(125,150]",14.653087046280863,0.023770264784836397
Angola,182,"(0.0708,0.0896]","(125,150]",8.309198910116402,0.0233493822317711
Angola,182,"(0.0896,0.112]","(125,150]",6.744438103991014,0.023445069908921683
Angola,182,"(0.112,0.141]","(125,150]",4.287379979472907,0.02294149459672483
Angola,182,"(0.141,0.174]","(125,150]",0.7863918453705375,0.02413007951074638
Angola,182,"(0.174,0.215]","(125,150]",3.22002861480271,0.023457163856796137
Angola,182,"(0.215,0.276]","(125,150]",4.937419747729407,0.023671348739188358
Angola,182,"(0.276,0.373]","(125,150]",8.432951558245103,0.023681697442140118
Angola,182,"(0.373,0.532]","(125,150]",2.886367381181573,0.023774712171132018
Angola,182,"(0.532,0.827]","(125,150]",2.806020198452396,0.024093229939110623
Angola,182,"(0.827,1.53]","(125,150]",2.2312347383449973,0.024007280639963022
