title,scenario,region,sector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2010",0,0,5.68634E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2015",0,0,0,6.04572E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2020",0,0,0,0,0.000064054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2025",0,0,0,0,0,6.90296E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2030",0,0,0,0,0,0,7.38582E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2035",0,0,0,0,0,0,0,7.84386E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2040",0,0,0,0,0,0,0,0,8.29018E-05,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2045",0,0,0,0,0,0,0,0,0,8.71018E-05,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2050",0,0,0,0,0,0,0,0,0,0,9.13057E-05,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2055",0,0,0,0,0,0,0,0,0,0,0,9.45332E-05,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2060",0,0,0,0,0,0,0,0,0,0,0,0,9.80086E-05,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2065",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101341,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104671,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107703,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110316,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112389,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114004,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114943,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooking,elect_td_bld,"electric stove,year=2100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115737,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2005",0,0.000112081,9.35645E-05,7.75722E-05,5.60404E-05,3.45086E-05,1.85163E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2010",0,0,7.81847E-06,6.52682E-06,5.41124E-06,3.90924E-06,2.40723E-06,1.29165E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2015",0,0,0,7.8415E-06,6.54605E-06,5.42718E-06,3.92075E-06,2.41432E-06,1.29545E-06,0,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2020",0,0,0,0,1.35565E-05,1.31101E-05,1.20509E-05,9.29541E-06,5.05456E-06,1.89023E-06,0,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2025",0,0,0,0,0,4.51654E-05,4.36783E-05,4.01495E-05,0.000030969,0.00001684,6.29759E-06,0,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2030",0,0,0,0,0,0,0.000040828,3.94837E-05,3.62938E-05,0.000027995,1.52228E-05,5.69281E-06,0,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2035",0,0,0,0,0,0,0,4.54009E-05,0.000043906,4.03589E-05,3.11305E-05,1.69278E-05,6.33043E-06,0,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2040",0,0,0,0,0,0,0,0,8.48963E-06,8.21009E-06,7.5468E-06,5.82117E-06,3.16538E-06,1.18374E-06,0,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2045",0,0,0,0,0,0,0,0,0,1.58273E-05,1.53062E-05,1.40696E-05,1.08525E-05,5.90125E-06,2.20687E-06,0,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2050",0,0,0,0,0,0,0,0,0,0,1.90048E-05,0.000018379,1.68942E-05,1.30312E-05,7.08597E-06,2.64991E-06,0,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2055",0,0,0,0,0,0,0,0,0,0,0,4.55358E-05,4.40365E-05,4.04788E-05,0.000031223,1.69781E-05,6.34924E-06,0,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2060",0,0,0,0,0,0,0,0,0,0,0,0,3.84017E-05,3.71373E-05,0.000034137,2.63313E-05,1.43182E-05,5.3545E-06,0,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2065",0,0,0,0,0,0,0,0,0,0,0,0,0,3.57129E-05,0.000034537,3.17467E-05,2.44876E-05,1.33156E-05,4.97958E-06,0,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91724E-05,1.85411E-05,1.70432E-05,1.31461E-05,7.14847E-06,2.67328E-06,0,EJ
Building final energy by technology and vintage,"50S_Ref,date=2013-5-11T16:19:43-05:00",AK,comm cooling,delivered gas,"gas cooling,year=2075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50883E-05,2.42622E-05,2.23021E-05,1.72025E-05,9.35423E-06,3.49816E-06,EJ
