AEZ_ID,Category,Year,Area_km2
307,203,1700,23847.08705
307,205,1700,1720438.64
307,210,1700,1.82346
307,212,1700,4.83122
307,213,1700,104.101235
307,215,1700,2005.108965
307,222,1700,15.84791
307,223,1700,5539.58463
307,225,1700,14827.94362
307,233,1700,0.949231
307,235,1700,9.551309
308,201,1700,117.540729
308,202,1700,1249.232553
308,203,1700,24000.00514
308,205,1700,34266.72915
308,212,1700,5.523965
308,213,1700,188.89696
308,215,1700,120.90688
308,221,1700,22.48187
308,222,1700,222.733503
308,223,1700,5425.93775
308,225,1700,7075.4904
308,233,1700,1.184082
308,235,1700,1.064217
309,101,1700,59.041001
309,103,1700,113.581203
309,121,1700,10.7527
309,123,1700,26.1516
309,200,1700,725.668404
309,201,1700,113.838201
309,202,1700,10809.11569
309,203,1700,72883.67802
309,205,1700,12349.20697
309,210,1700,22.663114
309,212,1700,374.883099
309,213,1700,1120.833652
309,215,1700,157.58277
309,220,1700,15.755463
309,221,1700,25.9668
309,222,1700,847.358823
309,223,1700,12868.77223
309,225,1700,2501.321331
309,230,1700,0.867128
309,232,1700,2.307027
309,233,1700,9.915116
309,235,1700,0.621339
310,102,1700,126.041154
310,103,1700,780.301904
310,112,1700,11.08374
310,113,1700,28.228702
310,122,1700,0.322005
310,123,1700,17.941096
310,200,1700,1702.44209
310,201,1700,794.027219
310,202,1700,9827.521862
310,203,1700,55152.4037
310,205,1700,3278.100564
310,210,1700,79.306625
310,211,1700,5.431156
310,212,1700,794.391097
310,213,1700,1508.763207
310,215,1700,70.902391
310,220,1700,4.224333
310,221,1700,29.64403
310,222,1700,439.494294
310,223,1700,4914.013937
310,225,1700,761.663499
310,230,1700,1.731969
310,231,1700,0.707188
310,232,1700,5.017016
310,233,1700,8.666272
310,235,1700,0.234647
410,101,1700,309.1131
410,111,1700,1.041931
410,121,1700,70.938559
410,201,1700,1323.475763
410,202,1700,120.932972
410,203,1700,59.722848
410,211,1700,3.310328
410,212,1700,0.257963
410,213,1700,0.588103
410,221,1700,262.693997
410,222,1700,132.53406
410,223,1700,3.45615
501,100,1700,411.962957
501,102,1700,222.78033
501,103,1700,8368.541692
501,105,1700,7704.547877
501,110,1700,0.159559
501,113,1700,0.720487
501,120,1700,1.41232
501,122,1700,23.608769
501,123,1700,780.521832
501,125,1700,47.190099
501,130,1700,0.045661
501,200,1700,1058.895039
501,202,1700,3162.237345
501,203,1700,15607.78941
501,205,1700,2107.537278
501,210,1700,0.979871
501,212,1700,0.282731
501,213,1700,17.428441
501,215,1700,2.538106
501,220,1700,23.082091
501,222,1700,317.336621
501,223,1700,1552.009768
501,225,1700,47.086321
502,100,1700,242.153139
502,101,1700,618.127658
502,102,1700,3923.672172
502,103,1700,3738.06506
502,111,1700,0.356701
502,112,1700,4.182908
502,113,1700,2.005714
502,120,1700,11.68276
502,121,1700,58.48494
502,122,1700,304.58403
502,123,1700,383.44122
502,200,1700,2612.527742
502,201,1700,3830.779249
502,202,1700,12793.5241
502,203,1700,7525.257719
502,205,1700,70.554131
502,210,1700,20.004005
502,211,1700,69.215656
502,212,1700,49.332754
502,213,1700,75.867739
502,215,1700,10.236
502,220,1700,65.933297
502,221,1700,285.588389
502,222,1700,1029.457103
502,223,1700,767.968503
502,225,1700,4.06427
502,230,1700,0.622335
502,231,1700,0.048298
502,232,1700,0.176623
502,233,1700,0.209514
503,101,1700,646.236049
503,102,1700,5183.623835
503,121,1700,19.84406
503,122,1700,287.121541
503,200,1700,80.47738
503,201,1700,15723.03961
503,202,1700,33685.83652
503,203,1700,1130.945625
503,210,1700,1.91087
503,211,1700,14.780635
503,212,1700,8.146446
503,213,1700,0.350375
503,220,1700,2.28715
503,221,1700,691.428597
503,222,1700,2562.941727
503,223,1700,119.271711
503,231,1700,0.25651
503,232,1700,0.010983
504,101,1700,5618.993182
504,102,1700,13584.2835
504,111,1700,30.799781
504,112,1700,1.369269
504,121,1700,244.948187
504,122,1700,1360.645538
504,200,1700,669.877816
504,201,1700,196198.5836
504,202,1700,118251.7018
504,203,1700,228.119478
504,210,1700,0.313636
504,211,1700,84.992514
504,212,1700,111.508846
504,213,1700,0.909486
504,220,1700,9.501358
504,221,1700,5793.903524
504,222,1700,7822.393258
504,223,1700,24.14433
504,231,1700,0.338235
504,232,1700,0.50384
505,101,1700,3752.014618
505,102,1700,84.284378
505,111,1700,10.894449
505,112,1700,0.105402
505,121,1700,123.078078
505,122,1700,0.697622
505,200,1700,421.646205
505,201,1700,297741.223
505,202,1700,50057.59324
505,211,1700,186.951548
505,212,1700,9.959383
505,220,1700,5.839688
505,221,1700,10435.22746
505,222,1700,2939.693848
505,231,1700,0.595174
505,232,1700,0.207392
508,102,1700,3263.30902
508,112,1700,0.712595
508,122,1700,335.285263
508,200,1700,147.997361
508,201,1700,305.321714
508,202,1700,19235.8184
508,203,1700,1813.026312
508,210,1700,0.420056
508,212,1700,37.696295
508,213,1700,2.800779
508,220,1700,15.58488
508,221,1700,23.84569
508,222,1700,1797.83633
508,223,1700,152.378689
508,232,1700,0.092785
509,101,1700,7414.858498
509,102,1700,66471.59608
509,111,1700,0.815613
509,112,1700,16.882227
509,121,1700,593.627708
509,122,1700,6359.800869
509,132,1700,0.052544
509,201,1700,11319.08873
509,202,1700,93882.7369
509,203,1700,622.865557
509,211,1700,4.304889
509,212,1700,37.954587
509,213,1700,4.618428
509,221,1700,682.907523
509,222,1700,8651.618612
509,223,1700,27.89219
509,232,1700,0.44889
510,101,1700,1506.686869
510,102,1700,3054.482759
510,121,1700,68.87744
510,122,1700,255.51628
510,201,1700,84349.0992
510,202,1700,59138.59942
510,211,1700,74.241065
510,212,1700,90.495838
510,221,1700,1568.390012
510,222,1700,3582.239187
510,232,1700,0.830218
511,201,1700,2934.837242
511,202,1700,6650.188274
511,211,1700,6.951992
511,212,1700,11.484658
511,221,1700,167.980931
511,222,1700,399.905369
607,100,1700,133.167434
607,102,1700,32746.19286
607,103,1700,2997.694298
607,104,1700,414.576004
607,105,1700,2304.911598
607,120,1700,0.141865
607,122,1700,70.592897
607,200,1700,5352.033722
607,201,1700,28997.04441
607,202,1700,574217.0463
607,203,1700,232623.5649
607,204,1700,1877.22522
607,205,1700,35168.66549
607,213,1700,2.129749
607,220,1700,2.125484
607,221,1700,79.388424
607,222,1700,1362.958236
607,223,1700,134.286408
607,225,1700,33.939527
607,232,1700,0.068709
607,233,1700,0.397263
608,101,1700,131.892299
608,102,1700,1290.07621
608,104,1700,772.308685
608,105,1700,536.915016
608,121,1700,3.1955
608,200,1700,1187.925967
608,201,1700,26455.39457
608,202,1700,115855.2849
608,203,1700,129501.3641
608,204,1700,7834.347076
608,205,1700,6030.472122
608,220,1700,0.511319
608,221,1700,59.627801
608,222,1700,99.456483
608,223,1700,91.921856
608,224,1700,24.380097
608,225,1700,1.114891
608,232,1700,0.071145
608,233,1700,0.193197
609,101,1700,541.644691
609,102,1700,1855.666008
609,103,1700,231.29221
609,123,1700,3.95158
609,200,1700,506.354591
609,201,1700,61909.552
609,202,1700,120216.1481
609,203,1700,110044.5979
609,204,1700,2128.009995
609,205,1700,759.976395
609,211,1700,0.664411
609,212,1700,1.262253
609,221,1700,27.588964
609,222,1700,61.87346
609,223,1700,30.528435
609,231,1700,0.062368
609,232,1700,0.184159
609,233,1700,0.009095
610,100,1700,590.395004
610,101,1700,2675.663582
610,102,1700,232.600308
610,103,1700,227.552243
610,105,1700,665.301201
610,113,1700,0.256495
610,122,1700,2.07809
610,123,1700,2.715958
610,200,1700,335.687805
610,201,1700,36148.36071
610,202,1700,80394.62819
610,203,1700,95370.18802
610,205,1700,2664.875206
610,211,1700,0.520112
610,221,1700,21.197539
610,222,1700,106.234333
610,223,1700,23.898856
610,231,1700,0.164372
610,232,1700,0.027275
610,233,1700,0.427925
611,200,1700,470.107193
611,201,1700,1838.723242
611,202,1700,122764.6697
611,203,1700,50293.56654
611,205,1700,69.501503
611,212,1700,3.836105
611,221,1700,0.574602
611,222,1700,202.525964
611,223,1700,20.901868
611,232,1700,0.069589
611,233,1700,0.029117
612,100,1700,75.724701
612,101,1700,4638.067235
612,102,1700,8847.925395
612,103,1700,376.954301
612,112,1700,0.918838
612,121,1700,3.512073
612,122,1700,22.544347
612,123,1700,0.876288
612,200,1700,3363.919128
612,201,1700,63191.78117
612,202,1700,380600.7163
612,203,1700,16863.65
612,204,1700,144.531535
612,205,1700,586.078943
612,210,1700,0.914553
612,211,1700,22.446042
612,212,1700,108.468262
612,213,1700,3.04817
612,220,1700,1.376037
612,221,1700,59.927285
612,222,1700,782.325365
612,223,1700,42.046501
612,224,1700,0.164968
612,225,1700,0.162054
612,230,1700,0.010779
612,231,1700,0.62662
612,232,1700,1.614538
613,101,1700,565.110372
613,102,1700,4797.573288
613,104,1700,571.088585
613,105,1700,20467.61537
613,121,1700,0.803423
613,122,1700,1.210571
613,124,1700,3.119324
613,125,1700,4.103034
613,200,1700,1789.078068
613,201,1700,9051.844393
613,202,1700,133008.2661
613,203,1700,52.649592
613,204,1700,10763.39104
613,205,1700,81313.46187
613,220,1700,2.116146
613,221,1700,39.497827
613,222,1700,421.902652
613,223,1700,0.163907
613,224,1700,5.828035
613,225,1700,43.392704
613,232,1700,0.001294
614,100,1700,970.034115
614,101,1700,12076.13885
614,102,1700,6738.978054
614,103,1700,194.304114
614,104,1700,134.399395
614,105,1700,2857.190914
614,121,1700,20.583689
614,122,1700,6.815323
614,123,1700,0.22339
614,125,1700,0.439881
614,200,1700,1150.17001
614,201,1700,34220.63728
614,202,1700,32175.74092
614,203,1700,1336.273728
614,204,1700,3831.095437
614,205,1700,4419.537234
614,211,1700,0.856549
614,214,1700,0.47995
614,221,1700,129.47225
614,222,1700,65.011887
614,223,1700,0.959789
614,224,1700,48.75302
614,225,1700,0.972913
615,100,1700,259.698196
615,101,1700,2874.302345
615,102,1700,240.737329
615,104,1700,99.823799
615,121,1700,13.494809
615,122,1700,2.05251
615,132,1700,0.001764
615,200,1700,213.972305
615,201,1700,3282.29332
615,202,1700,4769.675258
615,204,1700,6757.358158
615,221,1700,18.548996
615,222,1700,3.19547
616,200,1700,200.9659
616,202,1700,1504.864796
616,204,1700,848.194798
708,102,1700,190.992769
708,112,1700,0.711807
708,122,1700,5.41973
708,201,1700,1334.37755
708,202,1700,5002.687517
708,203,1700,193.005304
708,204,1700,1658.234117
708,211,1700,138.055961
708,212,1700,671.874281
708,213,1700,0.179347
708,214,1700,3.875471
708,221,1700,32.519073
708,222,1700,162.34169
708,223,1700,5.45885
708,224,1700,54.20295
708,232,1700,0.038025
709,100,1700,130.206242
709,101,1700,194.211493
709,103,1700,64.350189
709,111,1700,0.486811
709,113,1700,0.103694
709,120,1700,0.294551
709,121,1700,3.532996
709,123,1700,2.23512
